Code,Scheme NAV Name,mf,tp
100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,3.0,1.0
100034,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,3.0,1.0
119433,Aditya Birla Sun Life Equity Advantage Fund -Direct - IDCW,3.0,1.0
119436,Aditya Birla Sun Life Equity Advantage Fund - Growth - Direct Plan,3.0,1.0
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,3.0,1.0
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,3.0,1.0
111777,Aditya Birla Sun Life Income Fund (Discipline Advantage Plan),3.0,1.0
119655,Aditya Birla Sun Life Income Fund - Direct - Quarterly IDCW,3.0,1.0
119657,Aditya Birla Sun Life Income Fund - Growth - Direct Plan,3.0,1.0
133445,Aditya Birla Sun Life Income Fund - Regular - IDCW,3.0,1.0
133446,Aditya Birla Sun Life Income Fund - Direct - IDCW,3.0,1.0
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,3.0,1.0
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),3.0,1.0
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),3.0,1.0
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,3.0,1.0
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,3.0,1.0
100047,Aditya Birla Sun Life Liquid Fund - Growth,3.0,1.0
112014,Aditya Birla Sun Life Liquid Fund- Discipline Advantage Plan,3.0,1.0
119568,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan,3.0,1.0
119569,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,3.0,1.0
119570,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,3.0,1.0
119571,Aditya Birla Sun Life Liquid Fund -DIRECT - IDCW,3.0,1.0
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,3.0,1.0
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,3.0,1.0
103885,Aditya Birla Sun Life Liquid Fund -Regular - IDCW,3.0,1.0
100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,3.0,1.0
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,3.0,1.0
119605,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan,3.0,1.0
119606,Aditya Birla Sun Life Govenment Securities Fund -DIRECT - Quarterly IDCW,3.0,1.0
100063,Aditya Birla Sun Life MNC Fund - Regular - IDCW,3.0,1.0
100064,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,3.0,1.0
119646,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,3.0,1.0
119647,Aditya Birla Sun Life MNC Fund - DIRECT - IDCW,3.0,1.0
100067,Aditya Birla Sun Life Tax Plan -Regular - IDCW,3.0,1.0
104331,Aditya Birla Sun Life Tax Plan - Regular Plan - Growth Option,3.0,1.0
119660,Aditya Birla Sun Life Tax Plan -DIRECT - IDCW,3.0,1.0
119661,Aditya Birla Sun Life Tax Plan - Direct Plan - Growth Option,3.0,1.0
100068,BARODA ELSS 96 - Plan A - IDCW,4.0,1.0
119339,BARODA ELSS 96 - Plan B (Direct) - IDCW,4.0,1.0
125110,Baroda ELSS 96 Fund - Plan A- Bonus Option,4.0,1.0
125111,Baroda ELSS 96 - Plan B (Direct)- Bonus Option,4.0,1.0
134044,Baroda ELSS 96 Plan A -Growth Option,4.0,1.0
134045,Baroda ELSS 96 Plan B(Direct) -Growth Option,4.0,1.0
100077,DSP Bond Fund - IDCW,6.0,1.0
100078,DSP Bond Fund - Growth,6.0,1.0
100079,DSP Bond Fund - IDCW - Monthly,6.0,1.0
118921,DSP Bond Fund - Direct Plan - IDCW - Monthly,6.0,1.0
118922,DSP Bond Fund - Direct Plan - IDCW,6.0,1.0
118924,DSP Bond Fund - Direct Plan - Growth,6.0,1.0
100080,DSP Flexi Cap Fund - Regular Plan - IDCW,6.0,1.0
105875,DSP Flexi Cap Fund - Regular Plan - Growth,6.0,1.0
119076,DSP Flexi Cap Fund - Direct Plan - Growth,6.0,1.0
119077,DSP Flexi Cap Fund - Direct Plan - IDCW,6.0,1.0
119019,DSP Equity & Bond Fund - Direct Plan - Growth,6.0,1.0
119020,DSP Equity & Bond Fund - Direct Plan - IDCW,6.0,1.0
100081,DSP Equity & Bond Fund- Regular Plan - Growth,6.0,1.0
100082,DSP Equity & Bond Fund- Regular Plan - IDCW,6.0,1.0
100084,DSP Government Securities Fund - Regular Plan - Growth,6.0,1.0
100085,DSP Government Securities Fund - Regular Plan - IDCW,6.0,1.0
100086,DSP Government Securities Fund - Regular Plan - IDCW - Monthly,6.0,1.0
119099,DSP Government Securities Fund - Direct Plan - Growth,6.0,1.0
119100,DSP Government Securities Fund - Direct Plan - IDCW - Monthly,6.0,1.0
119101,DSP Government Securities Fund - Direct Plan - IDCW,6.0,1.0
100087,DSP Savings Fund - Regular Plan - Growth,6.0,1.0
100088,DSP Savings Fund - Regular Plan - IDCW,6.0,1.0
100089,DSP Savings Fund - Regular Plan - IDCW - Monthly,6.0,1.0
119106,DSP Savings Fund - Direct Plan - Growth,6.0,1.0
119107,DSP Savings Fund - Direct Plan - IDCW - Monthly,6.0,1.0
119108,DSP Savings Fund - Direct Plan - IDCW,6.0,1.0
139306,DSP Savings Fund - Unclaimed Dividend - Beyond 3 years,6.0,1.0
139303,DSP Savings Fund - Unclaimed Redemption - Upto 3 years,6.0,1.0
139304,DSP Savings Fund - Unclaimed Redemption - Beyond 3 years,6.0,1.0
139305,DSP Savings Fund - Unclaimed Dividend - Upto 3 years,6.0,1.0
123287,DSP Savings Fund - Regular Plan - IDCW - Daily,6.0,1.0
123288,DSP Savings Fund - Direct Plan -  IDCW - Daily,6.0,1.0
103819,DSP Equity Opportunities Fund-Regular Plan - Growth,6.0,1.0
103820,DSP Equity Opportunities Fund-Regular Plan - IDCW,6.0,1.0
119218,DSP Equity Opportunities Fund - Direct Plan - Growth,6.0,1.0
119219,DSP Equity Opportunities Fund - Direct Plan - IDCW,6.0,1.0
100119,HDFC Balanced Advantage Fund - Growth Plan,9.0,1.0
100120,HDFC Balanced Advantage Fund - IDCW Plan,9.0,1.0
118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,9.0,1.0
118969,HDFC Balanced Advantage Fund - IDCW Plan - Direct Plan,9.0,1.0
100123,HDFC Income Fund - Quarterly IDCW Option,9.0,1.0
100124,HDFC Income Fund - Growth Option,9.0,1.0
119068,HDFC Income Fund - Quarterly IDCW- Direct Plan,9.0,1.0
119069,HDFC Income Fund - Growth Option - Direct Plan,9.0,1.0
133365,HDFC Income Fund - Normal IDCW - Direct Plan,9.0,1.0
133366,HDFC Income Fund - Normal IDCW Option,9.0,1.0
100152,Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,10.0,1.0
100153,Principal Nifty 100 Equal Weight Fund-Growth,10.0,1.0
119487,Principal Nifty 100 Equal Weight Fund- Direct Plan - Income Distribution CUM Capital Withdrawal Option,10.0,1.0
119488,Principal Nifty 100 Equal Weight Fund - Direct Plan - Growth Option,10.0,1.0
100156,Principal Tax Savings Fund,10.0,1.0
119489,Principal Tax Savings Fund - Direct Plan,10.0,1.0
141829,Principal Tax Savings Fund Direct Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option,10.0,1.0
141830,Principal Tax Savings Fund Regular Plan - Half Yearly Income Distribution CUM Capital Withdrawal Option,10.0,1.0
100174,quant Tax Plan - IDCW Option - Regular Plan,13.0,1.0
100175,quant Tax Plan - Growth Option - Regular Plan,13.0,1.0
120846,quant Tax Plan - IDCW Option - Direct Plan,13.0,1.0
