0,mf,tp,AMC,Scheme Name,Scheme Type,Scheme Category,Scheme NAV Name,Scheme Minimum Amount,Launch Date, Closure Date,ISIN Div Payout/ ISIN GrowthISIN Div Reinvestment
148921,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Multi-Cap Fund,Open Ended,Equity Scheme - Multi Cap Fund,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth,500,19-Apr-2021,03-May-2021,INF209KB1Y49
148920,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Multi-Cap Fund,Open Ended,Equity Scheme - Multi Cap Fund,Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout,500,19-Apr-2021,03-May-2021,INF209KB1Y56
148918,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Multi-Cap Fund,Open Ended,Equity Scheme - Multi Cap Fund,Aditya Birla Sun Life Multi-Cap Fund-Regular Growth,500,19-Apr-2021,03-May-2021,INF209KB1Y23
148919,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Multi-Cap Fund,Open Ended,Equity Scheme - Multi Cap Fund,Aditya Birla Sun Life Multi-Cap Fund-Regular-IDCW Payout,500,19-Apr-2021,03-May-2021,INF209KB1Y31
119436,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Equity Advantage Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund - Growth - Direct Plan,5000,24-Feb-1995,24-Feb-1995,INF209K01VH8
100033,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Equity Advantage Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,5000,24-Feb-1995,24-Feb-1995,INF209K01165
119433,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Equity Advantage Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund -Direct - IDCW,5000,24-Feb-1995,24-Feb-1995,INF209K01VG0INF209K01VI6
100034,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Equity Advantage Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,5000,24-Feb-1995,24-Feb-1995,INF209K01157INF209K01CE5
119620,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Midcap Fund,Open Ended,Equity Scheme - Mid Cap Fund,Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,5000,09-Sep-2002,09-Sep-2002,INF209K01Q30
119619,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Midcap Fund,Open Ended,Equity Scheme - Mid Cap Fund,Aditya Birla Sun Life Midcap Fund -DIRECT - IDCW,5000,09-Sep-2002,09-Sep-2002,INF209K01Q22
101591,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Midcap Fund,Open Ended,Equity Scheme - Mid Cap Fund,Aditya Birla Sun Life Midcap Fund -REGULAR - IDCW,5000,09-Sep-2002,09-Sep-2002,INF209K01355INF209K01CN6
101592,3,1,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Midcap Fund,Open Ended,Equity Scheme - Mid Cap Fund,Aditya Birla Sun Life MIDCAP Fund-Growth,5000,09-Sep-2002,09-Sep-2002,INF209K01363
